"","quarter","KIX_GDP_growth_qoq"
"1","1996-Q1",0.567730941940755
"2","1996-Q2",1.00579014624446
"3","1996-Q3",0.711895579586433
"4","1996-Q4",0.724429377069425
"5","1997-Q1",0.912834717453423
"6","1997-Q2",1.28879071118202
"7","1997-Q3",0.783135385517318
"8","1997-Q4",1.05051911985464
"9","1998-Q1",0.632890554055353
"10","1998-Q2",0.456986119007686
"11","1998-Q3",0.5839242255887
"12","1998-Q4",0.565316623621288
"13","1999-Q1",0.990430859367354
"14","1999-Q2",0.60078090427293
"15","1999-Q3",1.25984664048617
"16","1999-Q4",1.24137382374151
"17","2000-Q1",1.30272485694695
"18","2000-Q2",0.934370430843771
"19","2000-Q3",0.614688827744237
"20","2000-Q4",0.619820314991551
"21","2001-Q1",0.681520793724356
"22","2001-Q2",0.171557975189743
"23","2001-Q3",0.180080965445933
"24","2001-Q4",0.157994768180243
"25","2002-Q1",0.412977738958582
"26","2002-Q2",0.650441197056069
"27","2002-Q3",0.434843821370733
"28","2002-Q4",0.348779934351155
"29","2003-Q1",0.13272770478029
"30","2003-Q2",0.319858541562507
"31","2003-Q3",0.8793066658426
"32","2003-Q4",0.915488432903393
"33","2004-Q1",0.849336485121209
"34","2004-Q2",0.71382559464499
"35","2004-Q3",0.385625859318045
"36","2004-Q4",0.640411238426756
"37","2005-Q1",0.66178178411724
"38","2005-Q2",0.833913552979911
"39","2005-Q3",0.828444659172902
"40","2005-Q4",0.819786902597788
"41","2006-Q1",1.06018295500875
"42","2006-Q2",1.05542675667464
"43","2006-Q3",0.544422984112637
"44","2006-Q4",1.03514364091178
"45","2007-Q1",0.937415928776818
"46","2007-Q2",0.713412571321513
"47","2007-Q3",0.694311406300312
"48","2007-Q4",0.842531953090344
"49","2008-Q1",0.493083850855445
"50","2008-Q2",-0.128742335578378
"51","2008-Q3",-0.377534774152622
"52","2008-Q4",-1.49646506258287
"53","2009-Q1",-2.29611222372318
"54","2009-Q2",0.107615783171891
"55","2009-Q3",0.533369983992898
"56","2009-Q4",0.69726559738104
"57","2010-Q1",0.765895129817366
"58","2010-Q2",1.00498792229706
"59","2010-Q3",0.653600073423569
"60","2010-Q4",0.708661576671783
"61","2011-Q1",0.80337194212853
"62","2011-Q2",0.34134307292458
"63","2011-Q3",0.308645627408207
"64","2011-Q4",0.215544250086983
"65","2012-Q1",0.356107822368474
"66","2012-Q2",0.0466375099812106
"67","2012-Q3",0.15040490579677
"68","2012-Q4",0.00876087421572215
"69","2013-Q1",0.294443310436039
"70","2013-Q2",0.742465366730781
"71","2013-Q3",0.649589284595916
"72","2013-Q4",0.469588262831955
"73","2014-Q1",0.631271491319816
"74","2014-Q2",0.539742117962622
"75","2014-Q3",0.7264717900298
"76","2014-Q4",0.601605223252944
"77","2015-Q1",0.8646195769125
"78","2015-Q2",0.577576687153074
"79","2015-Q3",0.591423128281455
"80","2015-Q4",0.48830545721168
"81","2016-Q1",0.596609690179036
"82","2016-Q2",0.507662903578667
"83","2016-Q3",0.540186414008701
"84","2016-Q4",0.969653204684307
"85","2017-Q1",0.856219658889002
"86","2017-Q2",0.930448746720666
"87","2017-Q3",0.829875913988042
"88","2017-Q4",0.800979142869481
"89","2018-Q1",0.570770090361829
"90","2018-Q2",0.628707564615151
"91","2018-Q3",0.442361652607748
"92","2018-Q4",0.410835587667478
"93","2019-Q1",0.803507180998686
"94","2019-Q2",0.571521448518391
"95","2019-Q3",0.47259664311631
"96","2019-Q4",0.222223147602567
"97","2020-Q1",-3.02330575923493
"98","2020-Q2",-8.37651467325435
"99","2020-Q3",9.55415499702822
"100","2020-Q4",0.857678593673139
"101","2021-Q1",0.902493798795124
"102","2021-Q2",2.06951574171326
"103","2021-Q3",1.6795670571161
"104","2021-Q4",1.13093241666348
"105","2022-Q1",0.414105752172946
"106","2022-Q2",0.680134106926475
"107","2022-Q3",0.86498984495166
"108","2022-Q4",0.0379370394998477
"109","2023-Q1",0.340047001095137
"110","2023-Q2",0.298312985638864
"111","2023-Q3",0.429055320632191
"112","2023-Q4",0.390879309575068
"113","2024-Q1",0.551680952123365
"114","2024-Q2",0.580387736409123
"115","2024-Q3",0.559165339937354
"116","2024-Q4",0.58222911994151
"117","2025-Q1",0.468175275479312
"118","2025-Q2",0.458967127327365
"119","2025-Q3",0.635666615850177
"120","2025-Q4",0.337322086948204
