"quarter","KIX_CPI_inflation_qoq"
"1996-Q1",0.958809060969422
"1996-Q2",0.993019290967682
"1996-Q3",0.402059703290915
"1996-Q4",0.61781375569138
"1997-Q1",0.768002995153628
"1997-Q2",0.674434792886589
"1997-Q3",0.545180393487673
"1997-Q4",0.50618197610785
"1998-Q1",0.536439806225914
"1998-Q2",0.646619342533485
"1998-Q3",0.19936353483224
"1998-Q4",0.380615294053068
"1999-Q1",0.334454701336354
"1999-Q2",0.830292172890055
"1999-Q3",0.337330571438248
"1999-Q4",0.675926302649856
"2000-Q1",0.746986400110745
"2000-Q2",0.788331071899452
"2000-Q3",0.592997664395473
"2000-Q4",0.706332135462641
"2001-Q1",0.631845858552889
"2001-Q2",1.3108350922438
"2001-Q3",0.185755775323297
"2001-Q4",0.280256201817329
"2002-Q1",0.307006888395467
"2002-Q2",0.427170524737928
"2002-Q3",0.121332201731327
"2002-Q4",0.376082380369567
"2003-Q1",0.544232365899885
"2003-Q2",0.162608254018708
"2003-Q3",0.0173141874573162
"2003-Q4",0.252368026752624
"2004-Q1",0.326775198288704
"2004-Q2",0.461838504175304
"2004-Q3",0.105921837158728
"2004-Q4",0.330388561923822
"2005-Q1",0.211439109913666
"2005-Q2",0.466691467596764
"2005-Q3",0.249950778035405
"2005-Q4",0.278364966335966
"2006-Q1",0.238601086258305
"2006-Q2",0.562151182770914
"2006-Q3",0.208054558841333
"2006-Q4",0.124084664278253
"2007-Q1",0.273795233656955
"2007-Q2",0.557950670554122
"2007-Q3",0.151572481732577
"2007-Q4",0.554540815028303
"2008-Q1",0.642325829584795
"2008-Q2",0.73859541413871
"2008-Q3",0.449849643797862
"2008-Q4",-0.253930139323298
"2009-Q1",0.00659377958858241
"2009-Q2",0.384551221992814
"2009-Q3",0.202613451736548
"2009-Q4",0.231523429145247
"2010-Q1",0.49704679980034
"2010-Q2",0.296373287013754
"2010-Q3",0.0769366744890926
"2010-Q4",0.427576724641509
"2011-Q1",0.637850248722501
"2011-Q2",0.543968895258432
"2011-Q3",0.142607058822606
"2011-Q4",0.273015516189981
"2012-Q1",0.509663064140929
"2012-Q2",0.300849171406318
"2012-Q3",0.063192733952701
"2012-Q4",0.300308924994727
"2013-Q1",0.433608995184283
"2013-Q2",0.243568040717372
"2013-Q3",0.209399646494072
"2013-Q4",0.2100737391046
"2014-Q1",0.31579877082232
"2014-Q2",0.357696224061576
"2014-Q3",0.141267338869185
"2014-Q4",0.0163321118532046
"2015-Q1",0.0757931231724844
"2015-Q2",0.390197766302939
"2015-Q3",0.154230661147538
"2015-Q4",0.0812630705504479
"2016-Q1",0.219162657867783
"2016-Q2",0.345799716427608
"2016-Q3",0.158994526993105
"2016-Q4",0.241786918586482
"2017-Q1",0.393775741160652
"2017-Q2",0.258934318610302
"2017-Q3",0.195997961225515
"2017-Q4",0.311034612389522
"2018-Q1",0.378543585454619
"2018-Q2",0.326949669105058
"2018-Q3",0.411017976541416
"2018-Q4",0.22959203140473
"2019-Q1",0.212701833654421
"2019-Q2",0.440688140226866
"2019-Q3",0.242494237445387
"2019-Q4",0.340853937777986
"2020-Q1",0.387923168026061
"2020-Q2",-0.182795314640708
"2020-Q3",0.349285186509794
"2020-Q4",0.164421759214895
"2021-Q1",0.5982471143012
"2021-Q2",0.523338880095424
"2021-Q3",0.55308522900101
"2021-Q4",0.836509791060849
"2022-Q1",1.29248150524845
"2022-Q2",1.55167875956192
"2022-Q3",0.939533051547699
"2022-Q4",0.681232061574938
"2023-Q1",0.842316361908505
"2023-Q2",0.508378344080537
"2023-Q3",0.558041455813493
"2023-Q4",0.276185145493114
"2024-Q1",0.566933234636221
"2024-Q2",0.477767244801086
"2024-Q3",0.392864286043876
"2024-Q4",0.224423411362005
