...1,quarter,KIX_GDP_growth_qoq,kix_gdp_log_diff,kix_gdp_log
1,1996Q1,0.567730941940755,0.005661254236450749,4.610831440224542
2,1996Q2,1.00579014624446,0.010007657390609027,4.620839097615152
3,1996Q3,0.711895579586433,0.007093735653366063,4.627932833268518
4,1996Q4,0.724429377069425,0.007218179916354432,4.635151013184872
5,1997Q1,0.912834717453423,0.009086935635292623,4.644237948820165
6,1997Q2,1.28879071118202,0.012805564762674724,4.657043513582839
7,1997Q3,0.783135385517318,0.007800847968325102,4.6648443615511646
8,1997Q4,1.05051911985464,0.01045039510568719,4.675294756656852
9,1998Q1,0.632890554055353,0.006308962120334224,4.681603718777186
10,1998Q2,0.456986119007686,0.004559451077559537,4.686163169854746
11,1998Q3,0.5839242255887,0.005822259957924351,4.69198542981267
12,1998Q4,0.565316623621288,0.005637247059621245,4.697622676872291
13,1999Q1,0.990430859367354,0.009855582398015202,4.707478259270307
14,1999Q2,0.60078090427293,0.005989834115341485,4.713468093385647
15,1999Q3,1.25984664048617,0.012519766040241373,4.7259878594258895
16,1999Q4,1.24137382374151,0.012337319566550542,4.73832517899244
17,2000Q1,1.30272485694695,0.012943123788755699,4.751268302781195
18,2000Q2,0.934370430843771,0.009300321928714283,4.76056862470991
19,2000Q3,0.614688827744237,0.006128073223020271,4.76669669793293
20,2000Q4,0.619820314991551,0.006179073295227302,4.772875771228157
21,2001Q1,0.681520793724356,0.006792089386676896,4.779667860614834
22,2001Q2,0.171557975189743,0.001714109825898341,4.781381970440733
23,2001Q3,0.180080965445933,0.0017991901407525995,4.783181160581485
24,2001Q4,0.157994768180243,0.0015787008775479798,4.784759861459033
25,2002Q1,0.412977738958582,0.004121273264331572,4.788881134723365
26,2002Q2,0.650441197056069,0.0064833495660556306,4.79536448428942
27,2002Q3,0.434843821370733,0.004339011075263899,4.799703495364684
28,2002Q4,0.348779934351155,0.003481731077218013,4.803185226441903
29,2003Q1,0.13272770478029,0.0013263969942527024,4.804511623436155
30,2003Q2,0.319858541562507,0.003193480823381027,4.807705104259536
31,2003Q3,0.8793066658426,0.00875463278455202,4.816459737044088
32,2003Q4,0.915488432903393,0.009113232394921735,4.825572969439009
33,2004Q1,0.849336485121209,0.00845749916511387,4.834030468604124
34,2004Q2,0.71382559464499,0.007112899194619451,4.841143367798743
35,2004Q3,0.385625859318045,0.0038488422880243356,4.844992210086767
36,2004Q4,0.640411238426756,0.006383693188070692,4.851375903274838
37,2005Q1,0.66178178411724,0.006596016217938347,4.857971919492776
