quarter,kix_index,exchange_rate_growth
1995K1,120.72574168539326,NA
1995K2,124.47398945054945,3.0575398667218145
1995K3,120.72681989130434,-3.0566467671381936
1995K4,111.99768467391304,-7.50521078035673
1996K1,110.83067,-1.047465746318199
1996K2,107.86083461538462,-2.7161713233835982
1996K3,107.28437989130435,-0.5358762962717201
1996K4,107.09672532608695,-0.17506637346089704
1997K1,111.70217777777778,4.2103801420037
1997K2,114.02323824175824,2.0566069294274847
1997K3,111.99831380434783,-1.791845598359476
1997K4,110.59068543478261,-1.264794881380027
1998K1,112.13617066666667,1.3878075271387402
1998K2,109.7569610989011,-2.144546550788551
1998K3,112.68453336956522,2.6323697632498977
1998K4,116.37124315217392,3.219327837206709
1999K1,112.79396211111111,-3.1222642570156722
1999K2,113.84537043956044,0.9278317751266307
1999K3,111.89001076086956,-1.732478600554277
1999K4,111.83263163043479,-0.05129488108988056
2000K1,111.63462835164835,-0.17721014757938747
2000K2,110.03563076923076,-1.4427062279737335
2000K3,112.62743739130435,2.328112792168202
2000K4,116.41216467391304,3.305167999612646
2001K1,118.34033277777777,1.6427611948089726
2001K2,121.30992549450549,2.4783989315514177
2001K3,124.14252369565217,2.308165160231823
2001K4,124.85984869565218,0.5761607630300425
2002K1,121.42208933333333,-2.7919080797477847
2002K2,120.2770356043956,-0.9475105016640839
2002K3,118.95234543478261,-1.107475765139565
2002K4,116.37550804347826,-2.190085321534241
2003K1,114.81329355555556,-1.351482645630675
2003K2,112.22039494505495,-2.2842525005016157
2003K3,112.73872565217391,0.4608229468585634
2003K4,109.65708456521739,-2.7714895672668938
2004K1,110.41257934065933,0.6865987160411535
2004K2,111.28446813186812,0.7865628309624562
2004K3,111.02497597826087,-0.23345141498385402
2004K4,108.10046836956522,-2.6694127435598958
2005K1,108.76199033333333,0.61008624505412
2005K2,111.67698428571428,2.64487156473896
2005K3,114.76048260869565,2.723656100096594
2005K4,116.77463402173913,1.7398675858817825
2006K1,114.99357677777778,-1.536959963985396
2006K2,113.11861384615385,-1.6439324459160964
2006K3,111.66025184782609,-1.2976152869916824
2006K4,110.27965184782609,-1.2441366201183968
2007K1,110.65840655555556,0.3428608737666039
2007K2,111.08491021978021,0.38468279123815563
2007K3,111.13953293478261,0.049159953178001814
2007K4,110.42112576086957,-0.6484993282351859
2008K1,110.51225956043956,0.08249889857649961
2008K2,108.67313351648352,-1.6781859236269625
2008K3,110.94108923913043,2.0654731035422813
2008K4,120.73636826086957,8.461006105914226
2009K1,126.83788422222223,4.9300374938102465
2009K2,125.00124021978021,-1.4586109837125605
2009K3,120.44448065217391,-3.7134753730315495
2009K4,119.21108467391305,-1.0293162742452289
2010K1,117.15785688888889,-1.737351292037026
2010K2,116.35771087912087,-0.685306893202231
2010K3,113.37949847826087,-2.5928575170214962
2010K4,110.11448010869566,-2.922003264486772
2011K1,106.338759,-3.4890714977708903
2011K2,106.72176912087912,0.35953213561743524
2011K3,108.7926520652174,1.9218636726346716
2011K4,108.55065521739131,-0.2226863581449301
2012K1,107.25316087912088,-1.202490295421299
2012K2,108.37050164835165,1.0363897517380316
2012K3,103.83308097826087,-4.277130778709548
2012K4,105.05743554347826,1.172258661019665
2013K1,102.28258,-2.6767830802968184
2013K2,102.80009967032967,0.5046947598588147
2013K3,102.80699445652174,0.006706759048302757
2013K4,104.08856510869565,1.2388734163191195
2014K1,103.19656155555556,-0.860659009772835
